text,label,conf_pos,conf_neg
eserin mydriasi effect calcium chlorid inject cerebr ventricl group-hous unanaesthet cat upon vocal rage hiss snarl fight attack paw claw defens paw claw bite mydriasi tremor clonic-ton convuls produc carbachol eserin inject similarli investig,1,1.0,0.0
calcium chlorid clonic-ton convuls effect calcium chlorid inject cerebr ventricl group-hous unanaesthet cat upon vocal rage hiss snarl fight attack paw claw defens paw claw bite mydriasi tremor clonic-ton convuls produc carbachol eserin inject similarli investig,1,1.0,0.0
num num'-dideoxycytidin immunodefici novel mutat human immunodefici viru type num revers transcriptas gene encod cross-resist num num'-dideoxyinosin num num'-dideoxycytidin,0,0.0,1.0
num num'-dideoxyinosin immunodefici novel mutat human immunodefici viru type num revers transcriptas gene encod cross-resist num num'-dideoxyinosin num num'-dideoxycytidin,0,0.0,1.0
ddc/num num'-dideoxycytidin immunodefici use techniqu vitro select gener variant human immunodefici viru type num hiv-num resist num num'-dideoxyinosin ddi cross-resist num num'-dideoxycytidin ddc,0,0.0,1.0
ddi/num num'-dideoxyinosin immunodefici use techniqu vitro select gener variant human immunodefici viru type num hiv-num resist num num'-dideoxyinosin ddi cross-resist num num'-dideoxycytidin ddc,0,0.0,1.0
magnesium muscl damag studi examin effect magnesium supplement muscl magnesium content run perform num2-km marathon footrac muscl damag rate recoveri muscl function follow race,0,0.2107,0.7893
magnesium muscl damag extra magnesium ingest also no influenc extent muscl damag rate recoveri muscl function,0,0.0,1.0
magnesium muscl damag thu magnesium supplement magnesium-replet subject not enhanc perform increas resist muscl damag race rate recoveri muscl function follow race,0,0.0,1.0
camp pulmonari thromboembol compound 7e compar level txa2 synthas icnum2 num microm human platelet camp pde icnum2 num microm inhibitori activ found oral bioavail long durat action offer effect protect against mortal collagen-epinephrine-induc pulmonari thromboembol model mice,0,0.0,1.0
carboplatin non-small-cel lung cancer intens etoposid carboplatin chemotherapi advanc non-small-cel lung cancer,0,0.0,1.0
