text,crowd_label,conf0,conf1
"At 6 1/2 months old my baby isn't walking yet, but when we go out I put these on her feet with our without shoes. She moves her legs a lot and usually kicks off any shoes and socks on. These stay on better than any we've tried. She can't pull them off easily. They are holding up very well in the wash and the colors match the colors used in baby's outfits on the market - which is very nice. The ""non-slip"" part is the printing on the bottom of the feet that says ""Loveable Friends"". It is a soft rubberish kind of printing that feels very nice to the fingers. We started using these when our baby had just turned 5 months old and they stayed on just as well then. They seem like they will fit her for another few months. Overall these are very nice socks for a good price. I highly recommended them.",0,1,5.865005488955577e-44
"These shoes were exactly what I was looking for. I was worried after reading previous customer reviews that these shoes run small/narrow because I have a wide foot. However, they fit perfectly. The straps are feminine and the gold sole provides just enough glitz. And with a retail price of $105, how can you beat this great deal?",0,1,3.49938345269442e-53
This was my first purchase through Amazon.com and I was thrilled first with the fact that I found exactly what I was looking for and second that it came much quicker than the expected delivery schedule.Thank you!!,0,1,5.283119222525067e-23
"Cashmere feels and lays like no other fabric. If you can only have one cashmere item, I suggest this shawl, it is light weight and warm. You will look chic wrapped cashmere.",0,1,8.674614719440545e-34
"Good quality jeans at an affordable price. Size is just right, quite comfortable",0,1,3.0813544635445445e-27
"Absolutely love these panties, my girlfriend looks so hot and playing with panties on is so much fun. great gif",0,1,2.5026232963449185e-98
I use a bunch of athletic shoes and I find that Asics Gel Nimbus is the pair I pick most of the time. These are light and incredibly 'springy' shoes that provide the right amount of cushion. These are much superior in my opinion to NB and Saucony.The price is the one thing I am not happy about but all manufacturers are the same in terms of pricing for specialized shoes,0,1,0
"These two packets of panties were too large. I also didn't like the cotton. Since I had opened one packet of three I kept it, but I sent the unopened packet of 3 back because I didn't like them.Jeanne Allen",0,1,1.7312809717202806e-40
"I read other people's reviews before ordering this little bag. I sniffed it when it arrived and it does have a certain odor to it. After smelling it, I believe it to smell alot like some of the clothes that arrive packaged from overseas etc. I was told at the last clothing store I worked in that the smell is from a spray that is used to kill any insects that like to eat the material used for clothing, purses and the like. I do not find it offensive at all and the smell does disappear overnight.The bag is adorable and very chic!",0,1,5.31341417394081e-66
"This sneakers are good looking, nostalgic, very comfortable to wear going out for the night, and long lasting.I would certainly recommend this sneakers",0,1,2.739928751102838e-86
...that would look fine on either By-Tor or the Snow Dog...Highly recommended!!,0,1,9.2214630243188e-46
Lasts only 2 weeks! Try them if you don't believe me,0,1,9.261262646051044e-35
"We used Avent with our 1st baby and loved it. Now that we are expecting another munchkin, we planning on using them again. I loved these. I loved how simple it made it to store my milk. Straight from the Isis Pump to my fridge/freezer. Simple. Yes, the defrosting takes longer than some alternatives, but I always had a bottle in the fridge while one was defrosting. I found warming it in a boiling pot of water to work the best for quick defrost. They do take up more room than the bags when storing, but I think the convience outweighed that problem. I stored milk in the fridge and freezer and learned to rotate so room wasn't a terrible problem. (If you do this, it is important to label and date the containers) This also saved me from defrosting last minute. I had some leaking issues from time to time, but figured it out. If you tighten the container/bottle too much it will leak. Simple fix...don't over-tighten. (Avent's site has a short trouble shooting list for leakage problems) We tried other products, but Avent was the best for our family.",0,1,2.70722420082084e-62
"I absolutely LOVE this pump. It is fast and effective and I get way more milk with this pump than I did with any other that I tried. Also-- these things are expensive so shop around so you don't overpay. I got mine from a private practice LC at Add A Little Love.com and got not only the pump at a great price, but the owner helped me with the issues I was having. Bottom line - the pump is great but only if you have someone to help and support you too",0,1,4.730525354957438e-31
"I bought this toy for my 6-month old son to grow into over the next year because it seemed to offer a variety of ways to learn and play. When putting it together Christmas morning the pieces did not snap together securely and kept falling off. Also, one light does not work. The poor construction of this toy is disappointing coming from Fischer-Price. I will be returning (not exchanging) this toy. Luckily my son is young enough that he will not miss it",0,1,3.6959055546076346e-31
We purchased this because my newborn was having trouble sleeping. She always woke up congested and strangled. Since we started using the wedge she hasn't had any problems at all she is 5 months old now,0,1,1.3799908692608252e-31
"My boys love them. They draw in the car and their cup can sit on it. Kinda a pain for short drives, but wonderful for longer trips.",0,1,4.612690748282132e-57
I am so happy they are selling this now outside the gift set.. I have never had a lip gloss that tastes and looks and feels as great as this does! I have Amber and Dolly and plan to try a few other of the colors as its the best I have ever tried!,0,1,2.3838014272312424e-111
"I ordered the 30-day supply of the Murad Acne Complex--just to see what it was all about. I have always had oily skin and those little bumps on my forehead--but my biggest problem was blackheads on my cheeks/nose and those painful red bumps that always show up when I shave. After only a week or so of being on the Acne Complex, I IMMEDIATELY noticed a reduction in the post-razor bumps as well as the little red bumps on my forehead. And the refining mask is AMAZING! Let it sit on your face for 10 minutes and you'll be amazed at how it makes blackheads DISAPPEAR. Plus, Murad's formula doesn't have any of that drying benzoyl peroxide, which means no irritation, no drying, and no bleaching the collars of your expensive shirts. If you've got acne problems, you owe it to yourself to give Acne Complex a try",0,0.9999999883373023,1.1662697645703565e-08
"Ok, if you weren't already aware, blotting papers are merely the same material you use to separate your bum and the public toilet. However, I am not inclined to stuff a few seat covers in my purse. Sephora has put their blotting papers on a mini roller in an attractive light blue container. This is better than other packaging options, where the too small papers are offered in kleenix-box style. Sephora's rolling sheet option allows you to take as much as you need, and offers an efficient cutting edge for easy tearing. Now that's what I'm talking about",0,1,1.287325594543376e-31
I was so impressed by the inventivness of these books and the children that I bought these books for are very fond of them and wanting more,1,6.288984691622311e-64,1
"I absolutely love this book; even though as a designer I don't do much card/invitation design, the typography and graphic elements are still inspiring in my everyday work. It makes for a fun coffee table book as well",1,7.161132386333241e-29,1
