text,crowd_label,conf0,conf1,conf2,conf3,conf4
"RT @DeSmogBlog: Bill Nye @TheScienceGuy: Screw #Deflategate. You Should ""Give a Fuck"" About #ClimateChange Instead. http://t.co/cKCXLgn9Xf Û_",2,0.0,0.0,1.0,0.0,0.0
"RT @CBSPittsburgh: Former Belichick Scout: Û÷Bill has always worked to that edge, crossed that edge.' #Deflategate http://t.co/vd9Lhjmtsy",0,1.0,0.0,0.0,0.0,0.0
RT @OkeraJ: #DeflateGate and the media being upset at Marshawn Lynch has done nothing but kill a lot of the excitement leading up to this SÛ_,0,0.6667,0.08332500000000001,0.08332500000000001,0.08332500000000001,0.08332500000000001
RT @DigitalTrove: Why are we still talking about #DeflateGate? Can't we simply believe this precious face? #Tomocchio #SuperBowlXLIX http:/Û_,2,0.0,0.0,1.0,0.0,0.0
RT @WWE: #WWE's @LanaWWE @mikethemiz and @JCLayfield have some advice for the @Patriots on the latest @WWEInbox! http://t.co/soysmJg0vC #DeÛ_,0,0.6924,0.0769,0.0769,0.0769,0.0769
RT @Blanchtr: #TomBrady What did you do to my car last night?!?! #DeflateGate @Patriots #SuperBowlXLIX http://t.co/lZHIMxYTMP,1,0.08635000000000001,0.6546,0.08635000000000001,0.08635000000000001,0.08635000000000001
The #DeflateGate trolling continues. http://t.co/gHG9hDr6TS,1,0.0965,0.614,0.0965,0.0965,0.0965
"RT @adamshapiro: #Gladiators, this is OUR super bowl. Olivia is our Tom Brady, &amp; Fitz is our Richard Sherman. And Cytron is our #DeflateGatÛ_",1,0.08682500000000001,0.6527,0.08682500000000001,0.08682500000000001,0.08682500000000001
RT @SuperbowlStrike: @nflnetwork @nfl  The #Patriots cheated. BOOM! #BoycottTheSuperBowl #CheaterBowl #DeflateGate #ShadyBrady #shrinkage,3,0.0,0.0,0.0,1.0,0.0
@BleacherReport @OBJ_3 Were they #Patriots footballs? #DeflateGate #CheaterBowl #BoycottTheSuperBowl #ShadyBrady #shrinkage,3,0.08332500000000001,0.08332500000000001,0.08332500000000001,0.6667,0.08332500000000001
"RT @IAmAngeIo: Win if you can, lose if you must, but always cheat. #Patriots #DeflateGate",3,0.0,0.0,0.0,1.0,0.0
Bill Nye Says 'Give a F**k' About Climate Change and Forget #Deflategate http://t.co/zGXFY1FkoD @climate_rev @OccupySandy @OneWorld_News,2,0.08065,0.08065,0.6774,0.08065,0.08065
ICYMI: Bill Nye breaks down the science of #deflategate http://t.co/Te8MQBicQv http://t.co/WBjit9WgFh,0,0.6746,0.08135,0.08135,0.08135,0.08135
Blow up the #Patriots and #DeflateGate twitter hate. Literally. Do it here #pumpupthepats http://t.co/GCwgsipBh2,0,0.6795,0.080125,0.080125,0.080125,0.080125
RT @ChrisKuball: Too Funny #AustinMN @HyVee.  #DeflateGate. http://t.co/OZGCg31B51,1,0.0759,0.6964,0.0759,0.0759,0.0759
RT @PopSci: Did the Patriots' under-inflated footballs affect gameplay? We computer-simulated #deflategate http://t.co/MplLoL8GP3 http://t.Û_,0,1.0,0.0,0.0,0.0,0.0
"RT @dougmillsnyt: Katy Perry says ""Nothing in my performance will be deflated.""... @katypery #SuperBowlXLIX #DeflateGate http://t.co/I2mDEMÛ_",1,0.08962500000000001,0.6415,0.08962500000000001,0.08962500000000001,0.08962500000000001
"During the #SuperBowlXLIX half time, you can be certain Katy Perry's balloons will be fully inflated #DeflateGate http://t.co/sjTaLIGa0Z",1,0.0,1.0,0.0,0.0,0.0
RT @nypostsports: Biggest #Deflategate storyline is now Robert Kraft vs. Richard Sherman  http://t.co/NdvUNjMqtK,0,0.66,0.08499999999999999,0.08499999999999999,0.08499999999999999,0.08499999999999999
"ÛÏ@CBSPittsburgh: Former Belichick Scout: Û÷Bill has always worked to that edge, crossed that edge.' #Deflategate http://t.co/sxLVkly3e5",0,0.6724,0.0819,0.0819,0.0819,0.0819
"If #DeflateGate got you heated, cop this @10Deep piece and show your support for hockey. http://t.co/Lcyj4w2763 http://t.co/pRgHv1VeCc",0,0.6667,0.08332500000000001,0.08332500000000001,0.08332500000000001,0.08332500000000001
"RT @OysterRiverPart: Ends with a zephyr. ÛÏ@CraigOrsi: so the refs don't log PSI huh. hmm. please, let this be the merciful end of #DeflateGÛ_",2,0.083425,0.083425,0.6663,0.083425,0.083425
#NewsIsNotTerror MSM in America is scripted by big Gov't and the masses keep gobbling up their mindless #DeflateGate hysteria. #WakeUpCall,2,0.08595,0.08595,0.6562,0.08595,0.08595
"Videos We're Into: Bill Nye Talks #Deflategate And Giving A Fuck About Climate Change: Hold onto your butts, k... http://t.co/Vtan7HVeoc",1,0.08704999999999999,0.6518,0.08704999999999999,0.08704999999999999,0.08704999999999999
@khatinthekar @SportBlogNYC no #DeflateGate problems with her,0,0.6779999999999999,0.08050000000000002,0.08050000000000002,0.08050000000000002,0.08050000000000002
"So, Now we have #alarmgate, #Shermangate and #deflategate so why don''t we just call the whole thing #GateBowl15     http://t.co/bJM1V5Od3J",1,0.08707500000000001,0.6517,0.08707500000000001,0.08707500000000001,0.08707500000000001
Too Funny #AustinMN @HyVee.  #DeflateGate. http://t.co/OZGCg31B51,1,0.0,1.0,0.0,0.0,0.0
Blow up the #Patriots and #DeflateGate twitter hate. Literally. Do it here #pumpupthepats http://t.co/Sq8WifxrZT,0,1.0,0.0,0.0,0.0,0.0
Gotta love the sass and hilariousness that is @KatyPerry #ThisIsWhyILoveYou #FinesShmines #Deflategate,0,1.0,0.0,0.0,0.0,0.0
"Our nation's leaders governing with deflated balls? #DeflateGate #Ballghazi 
http://t.co/vgdWuiF8Je",1,0.0,1.0,0.0,0.0,0.0
Where is the petition to go after the media frauds responsible for #DeflateGate?,0,0.6081,0.097975,0.097975,0.097975,0.097975
"RT @FO7935: All balls Should be deflated 
#DeflateGate 
#TweetLikeAFeminist",1,0.0,1.0,0.0,0.0,0.0
Last night Keyshawn Johnson @throwmedamnball visited #ASCJ to speak about #deflategate among other topics #latergram: http://t.co/SRSkJtp7nR,0,1.0,0.0,0.0,0.0,0.0
Restaurant promotions tap into #DeflateGate controversy http://t.co/hzNVd8TotO,0,0.6371,0.090725,0.090725,0.090725,0.090725
49 things you need to know abt @SuperBowl XLIX not related to #DeflateGate: http://t.co/KcuLACToqB #SB49 #NEvsSEA,0,1.0,0.0,0.0,0.0,0.0
RT @ShuckItTrebek: NFL officials consult with Patriots organization on ways to deflate Marshawn Lynch's ego.  #DeflateGate @absrdNEWS,0,0.6609999999999999,0.08475000000000002,0.08475000000000002,0.08475000000000002,0.08475000000000002
@moxitonic @HuffingtonPost Correct. So different initial conditions would explain different end results. #DeflateGate,0,1.0,0.0,0.0,0.0,0.0
"I uploaded a new track, ""Talk Back Live: Super Bowl XLIX Preview"", on @spreaker #deflategate #marshawnlynch http://t.co/h9lfRrqciE",0,1.0,0.0,0.0,0.0,0.0
