text,crowd_label,conf0,conf1,conf2
RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate,2,0.17109999999999997,0.17109999999999997,0.6578
RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfFÛ_,1,0.18335,0.6333,0.18335
RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.,2,0.16854999999999998,0.16854999999999998,0.6629
RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on Û_,1,0.0,1.0,0.0
RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.coÛ_,1,0.14775,0.7045,0.14775
"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",1,0.1834,0.6332,0.1834
RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://Û_,0,0.6761,0.16194999999999998,0.16194999999999998
Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,2,0.0,0.0,1.0
"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate",0,0.6889,0.15555000000000002,0.15555000000000002
RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD,0,0.6778,0.16110000000000002,0.16110000000000002
@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,0,1.0,0.0,0.0
"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",1,0.0,1.0,0.0
Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,0,0.6957,0.15215,0.15215
"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""",2,0.17895,0.17895,0.6421
RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,1,0.0,1.0,0.0
Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,0,1.0,0.0,0.0
RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.Û_,0,0.6264,0.18680000000000002,0.18680000000000002
RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,0,0.6629,0.16854999999999998,0.16854999999999998
reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,0,1.0,0.0,0.0
"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",0,0.6669,0.16654999999999998,0.16654999999999998
"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",1,0.0,1.0,0.0
RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,0,1.0,0.0,0.0
RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce,2,0.16494999999999999,0.16494999999999999,0.6701
RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/Û_,0,0.6989,0.15055000000000002,0.15055000000000002
"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",0,1.0,0.0,0.0
RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @BadgerÛ_,0,1.0,0.0,0.0
RT @mch7576: RT ÛÏ@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfuÛÛ,0,1.0,0.0,0.0
