epoch, loss_val, ece_val, f1_val, pre_val, rec_val, acc_val, lr_rate, weight_decay, class_weight
42,0.690634548664093,0.02273908257484436,0.0,0.0,0.0,0.5,0.01,0.1,[1. 1.]
42,0.7389649748802185,0.0822286605834961,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[1. 3.]
42,0.7548639178276062,0.09447338564755167,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[1. 5.]
42,0.7662110924720764,0.22577189872979755,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[1. 7.]
42,0.7658272981643677,0.15933116776032355,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[ 1. 10.]
42,0.7664986252784729,0.18808949356572632,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[ 1. 12.]
50,0.6475244760513306,0.11937729547103611,0.45560747663551393,0.9798994974874372,0.2968036529680365,0.6453576864535768,0.01,0.01,[1. 1.]
42,0.705208957195282,0.25872250529547625,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[1. 3.]
42,0.7413772940635681,0.20626255937907245,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[1. 5.]
42,0.7600451111793518,0.12730549051337048,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[1. 7.]
42,0.7774437069892883,0.12301396343806018,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[ 1. 10.]
42,0.7822213768959045,0.12577097283469305,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[ 1. 12.]
146,0.5179547071456909,0.20638021631690825,0.7666666666666666,0.9047619047619048,0.665144596651446,0.7975646879756468,0.01,0.001,[1. 1.]
175,0.577964186668396,0.24505321815315084,0.7261146496815287,0.585981308411215,0.954337899543379,0.6400304414003044,0.01,0.001,[1. 3.]
42,0.6568212509155273,0.2071152853366991,0.6711202466598151,0.5065942591155935,0.9939117199391172,0.512937595129376,0.01,0.001,[1. 5.]
42,0.7090529203414917,0.21861975396241953,0.6670055922724962,0.500763358778626,0.9984779299847792,0.5015220700152208,0.01,0.001,[1. 7.]
42,0.7644500732421875,0.24458265454257458,0.6673438293550025,0.5007621951219512,1.0,0.5015220700152208,0.01,0.001,[ 1. 10.]
42,0.7888991832733154,0.2585860278054823,0.6673438293550025,0.5007621951219512,1.0,0.5015220700152208,0.01,0.001,[ 1. 12.]
266,0.4439579248428345,0.13019686656092583,0.7877786952931461,0.8610108303249098,0.726027397260274,0.80441400304414,0.01,0.0001,[1. 1.]
317,0.47097212076187134,0.1545577930510498,0.7873684210526316,0.73046875,0.8538812785388128,0.769406392694064,0.01,0.0001,[1. 3.]
341,0.5269614458084106,0.1807255869110425,0.7688378033205617,0.6622662266226622,0.9162861491628614,0.7245053272450532,0.01,0.0001,[1. 5.]
344,0.5829556584358215,0.20304938439773096,0.7478991596638654,0.6174430128840436,0.9482496194824962,0.680365296803653,0.01,0.0001,[1. 7.]
314,0.6619631052017212,0.22180648660641644,0.7121296813862493,0.5627208480565371,0.969558599695586,0.6080669710806698,0.01,0.0001,[ 1. 10.]
307,0.7099809050559998,0.23560549747453977,0.6943396226415094,0.5375626043405676,0.9802130898021308,0.5684931506849316,0.01,0.0001,[ 1. 12.]
42,0.6906089782714844,0.02313101291656494,0.0,0.0,0.0,0.5,0.01,0.1,[1. 1.]
42,0.7399848699569702,0.07995492219924927,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[1. 3.]
42,0.7563651204109192,0.09425535403430192,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[1. 5.]
42,0.763964831829071,0.20001540418084895,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[1. 7.]
42,0.7667014002799988,0.17160266578832534,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[ 1. 10.]
42,0.7688177227973938,0.20023737015426613,0.6666666666666666,0.5,1.0,0.5,0.01,0.1,[ 1. 12.]
49,0.647504448890686,0.1076228404743668,0.45740956826137685,0.98,0.2983257229832572,0.6461187214611872,0.01,0.01,[1. 1.]
42,0.7047345638275146,0.24777547990168974,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[1. 3.]
42,0.7390718460083008,0.2352190860511687,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[1. 5.]
42,0.7592065930366516,0.14512334770807941,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[1. 7.]
42,0.7709031701087952,0.11890261358322075,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[ 1. 10.]
42,0.7797675132751465,0.12484475348819515,0.6666666666666666,0.5,1.0,0.5,0.01,0.01,[ 1. 12.]
147,0.5179510712623596,0.2063349926988828,0.7666666666666666,0.9047619047619048,0.665144596651446,0.7975646879756468,0.01,0.001,[1. 1.]
175,0.5779730677604675,0.24305385006435748,0.7261146496815287,0.585981308411215,0.954337899543379,0.6400304414003044,0.01,0.001,[1. 3.]
43,0.6575618982315063,0.20694295043633226,0.6707755521314843,0.506201550387597,0.9939117199391172,0.5121765601217656,0.01,0.001,[1. 5.]
42,0.7095470428466797,0.22067102290905408,0.6670055922724962,0.500763358778626,0.9984779299847792,0.5015220700152208,0.01,0.001,[1. 7.]
42,0.7663257718086243,0.24686010592422888,0.6673438293550025,0.5007621951219512,1.0,0.5015220700152208,0.01,0.001,[ 1. 10.]
42,0.7920116782188416,0.25729976301868207,0.6673438293550025,0.5007621951219512,1.0,0.5015220700152208,0.01,0.001,[ 1. 12.]
264,0.4439625144004822,0.12836655860985072,0.7894302229562346,0.8628158844765343,0.7275494672754946,0.8059360730593608,0.01,0.0001,[1. 1.]
318,0.47096845507621765,0.15254894868560032,0.7868162692847125,0.729518855656697,0.8538812785388128,0.7686453576864536,0.01,0.0001,[1. 3.]
341,0.5269536375999451,0.1818198356635676,0.7683471601786853,0.6615384615384615,0.9162861491628614,0.723744292237443,0.01,0.0001,[1. 5.]
345,0.5829740166664124,0.20159462613692924,0.7478991596638654,0.6174430128840436,0.9482496194824962,0.680365296803653,0.01,0.0001,[1. 7.]
322,0.6619695425033569,0.2206103031947369,0.7129266927811977,0.5637168141592921,0.969558599695586,0.6095890410958904,0.01,0.0001,[ 1. 10.]
272,0.7109488844871521,0.23745913488316933,0.6946688206785138,0.5375,0.9817351598173516,0.5684931506849316,0.01,0.0001,[ 1. 12.]
46,0.6908082365989685,0.024986058473587036,0.0,0.0,0.0,0.5,0.05,0.1,[1. 1.]
62,0.7427569031715393,0.0834963321685791,0.6666666666666666,0.5,1.0,0.5,0.05,0.1,[1. 3.]
43,0.8016124367713928,0.11895304918289185,0.6666666666666666,0.5,1.0,0.5,0.05,0.1,[1. 5.]
49,0.857621967792511,0.14513880014419556,0.6666666666666666,0.5,1.0,0.5,0.05,0.1,[1. 7.]
56,0.9175577759742737,0.16858893632888794,0.6666666666666666,0.5,1.0,0.5,0.05,0.1,[ 1. 10.]
60,0.946753203868866,0.17896199226379395,0.6666666666666666,0.5,1.0,0.5,0.05,0.1,[ 1. 12.]
45,0.6477356553077698,0.10723149449857948,0.44103773584905664,0.9790575916230366,0.2846270928462709,0.639269406392694,0.05,0.01,[1. 1.]
42,0.7217257618904114,0.2803883573417431,0.6666666666666666,0.5,1.0,0.5,0.05,0.01,[1. 3.]
50,0.8366000652313232,0.1498626789001569,0.6666666666666666,0.5,1.0,0.5,0.05,0.01,[1. 5.]
65,0.940675675868988,0.26100261507150424,0.6666666666666666,0.5,1.0,0.5,0.05,0.01,[1. 7.]
76,1.064596176147461,0.2201959009947116,0.6666666666666666,0.5,1.0,0.5,0.05,0.01,[ 1. 10.]
80,1.1317847967147827,0.23761671781539917,0.6666666666666666,0.5,1.0,0.5,0.05,0.01,[ 1. 12.]
43,0.5165218114852905,0.20834201025454782,0.7699037620297463,0.9053497942386831,0.669710806697108,0.799847792998478,0.05,0.001,[1. 1.]
52,0.5756127238273621,0.24466742806510838,0.7278037383177569,0.590521327014218,0.9482496194824962,0.6453576864535768,0.05,0.001,[1. 3.]
68,0.6826891303062439,0.237532030819395,0.6714801444043322,0.5078003120124805,0.9908675799086758,0.515220700152207,0.05,0.001,[1. 5.]
42,0.7873659729957581,0.2820894872398319,0.6676844783715012,0.5015290519877675,0.9984779299847792,0.5030441400304414,0.05,0.001,[1. 7.]
42,0.9088522791862488,0.2293881882361988,0.6666666666666666,0.5,1.0,0.5,0.05,0.001,[ 1. 10.]
42,0.9750888347625732,0.24823648295446074,0.6666666666666666,0.5,1.0,0.5,0.05,0.001,[ 1. 12.]
128,0.4399835765361786,0.12681742561371537,0.7923904052936313,0.8677536231884058,0.7290715372907154,0.8089802130898022,0.05,0.0001,[1. 1.]
167,0.4659867286682129,0.14912338037741235,0.7926657263751764,0.7385019710906702,0.8554033485540334,0.776255707762557,0.05,0.0001,[1. 3.]
143,0.521975576877594,0.1788069603445867,0.7713178294573644,0.67003367003367,0.908675799086758,0.730593607305936,0.05,0.0001,[1. 5.]
48,0.5795112252235413,0.20057740543304148,0.7448856799037304,0.6159203980099502,0.9421613394216134,0.6773211567732116,0.05,0.0001,[1. 7.]
54,0.6567921042442322,0.2192941275588272,0.7161326587970771,0.5677361853832442,0.969558599695586,0.6156773211567732,0.05,0.0001,[ 1. 10.]
58,0.7045607566833496,0.23443101559690505,0.6963123644251626,0.5408593091828138,0.9771689497716894,0.573820395738204,0.05,0.0001,[ 1. 12.]
52,0.6885151863098145,0.014634281396865845,0.0,0.0,0.0,0.5,0.001,0.1,[1. 1.]
42,0.6886559128761292,0.01688903570175171,0.6666666666666666,0.5,1.0,0.5,0.001,0.1,[1. 3.]
42,0.6887426376342773,0.012653112411499023,0.6666666666666666,0.5,1.0,0.5,0.001,0.1,[1. 5.]
42,0.6889565587043762,0.015371263027191162,0.6666666666666666,0.5,1.0,0.5,0.001,0.1,[1. 7.]
42,0.6887402534484863,0.013393819332122803,0.6666666666666666,0.5,1.0,0.5,0.001,0.1,[ 1. 10.]
42,0.6900613307952881,0.01956319808959961,0.6666666666666666,0.5,1.0,0.5,0.001,0.1,[ 1. 12.]
226,0.650977611541748,0.09163704850176516,0.4057971014492754,0.9824561403508771,0.2557077625570776,0.6255707762557078,0.001,0.01,[1. 1.]
77,0.6659204959869385,0.030089904819267915,0.667005076142132,0.5003808073115004,1.0,0.5007610350076104,0.001,0.01,[1. 3.]
79,0.6755146384239197,0.040587425231933594,0.6666666666666666,0.5,1.0,0.5,0.001,0.01,[1. 5.]
70,0.6785264611244202,0.036882221698760986,0.6666666666666666,0.5,1.0,0.5,0.001,0.01,[1. 7.]
51,0.6829559206962585,0.03484773635864258,0.6666666666666666,0.5,1.0,0.5,0.001,0.01,[ 1. 10.]
71,0.6825105547904968,0.03970557451248169,0.6666666666666666,0.5,1.0,0.5,0.001,0.01,[ 1. 12.]
481,0.5357649922370911,0.21399146740295028,0.752920035938904,0.918859649122807,0.6377473363774734,0.7907153729071538,0.001,0.001,[1. 1.]
444,0.5859698057174683,0.2607525309698041,0.723526044647968,0.5798165137614679,0.9619482496194824,0.632420091324201,0.001,0.001,[1. 3.]
246,0.6499789357185364,0.27235254736070036,0.6704254228600718,0.5054095826893354,0.9954337899543378,0.510654490106545,0.001,0.001,[1. 5.]
123,0.6745184659957886,0.19985663026707357,0.6693877551020408,0.5034535686876439,0.9984779299847792,0.5068493150684932,0.001,0.001,[1. 7.]
42,0.6837353706359863,0.03346140322075589,0.6670061099796334,0.5011476664116297,0.9969558599695586,0.502283105022831,0.001,0.001,[ 1. 10.]
51,0.6855029463768005,0.041720977452792005,0.6673438293550025,0.5007621951219512,1.0,0.5015220700152208,0.001,0.001,[ 1. 12.]
481,0.47992581129074097,0.18739831204918783,0.7811158798283262,0.8956692913385826,0.6925418569254186,0.8059360730593608,0.001,0.0001,[1. 1.]
481,0.518438994884491,0.20881539667124435,0.770764119601329,0.6839622641509434,0.882800608828006,0.7374429223744292,0.001,0.0001,[1. 3.]
481,0.5829421877861023,0.20554666366297722,0.7268491555037857,0.5886792452830188,0.9497716894977168,0.6430745814307458,0.001,0.0001,[1. 5.]
481,0.6407877802848816,0.23723564554385762,0.6987424822307271,0.5452218430034129,0.9726027397260274,0.5806697108066972,0.001,0.0001,[1. 7.]
58,0.6845716238021851,0.05053938142785204,0.6697388632872504,0.5046296296296297,0.9954337899543378,0.5091324200913242,0.001,0.0001,[ 1. 10.]
45,0.6865258812904358,0.0407800301569238,0.6693919264179867,0.5038461538461538,0.9969558599695586,0.5076103500761036,0.001,0.0001,[ 1. 12.]
